Company Name,Domain,Industry,Location,Headcount,Linkedin,Description,Company Type,Tags
INNOVARCH,innovarch.az,Accessible Architecture and Design,"Baku, Azerbaijan",1-10,https://www.linkedin.com/company/innovarch-az,"INNOVARCH is a leading firm in Architecture, Design, and Construction, providing professional services to clients in Baku, Azerbaijan. HOME",privately held,""
Carlos Castanheira Architects,carloscastanheira.pt,Accessible Architecture and Design,"Vila Nova de Gaia, Portugal",11-50,https://www.linkedin.com/company/carlos-castanheira-architects,Carlos Castanheira Architects is an architectural firm that specializes in innovative design solutions for private sector projects.,privately held,""
AGS Landscape,agsevent.vn,Accessible Architecture and Design,"Hanoi, Vietnam",51-200,https://www.linkedin.com/company/vietnam-august-star-jsc-landscape-division,,public company,""
Thomas Cooper Studio,thomascooperstudio.com,Accessible Architecture and Design,"Los Angeles, California, United States",11-50,https://www.linkedin.com/company/thomas-cooper-studio,Thomas Cooper Studio is a lighting design company that focuses on exploring the material and sculptural essence of lighting for home and hospitality.,,""
Welkom Toegankelijkheid & Evenementen,geenbeperkingmeer.nl,Accessible Architecture and Design,"Pijnacker, Netherlands",1-10,https://www.linkedin.com/company/welkom-toegankelijkheid-%26-evenementen,"Welkom Toegankelijkheid & Evenementen is an events organization that focuses on meticulously organized events where guests feel welcomed, with a special emphasis on accessibility for individuals with disabilities. They also provide advisory services for buildings or outdoor spaces and offer lectures on accessibility.",self employed,""
MAD,mad.com.ec,Accessible Architecture and Design,"Guayaquil, Ecuador",11-50,https://www.linkedin.com/company/mad-mobility-art-design,"MAD is a construction and design company specializing in creating innovative houses, residences, and offices.",partnership,""
Architectural Association of Ireland,architecturalassociation.ie,Accessible Architecture and Design,"Dublin, Ireland",1-10,https://www.linkedin.com/company/aai-ireland,"Architectural Association of Ireland is a non-profit organization that promotes the study of Architecture, Allied Sciences, and Arts while facilitating friendly communication among members and those interested in the progress of the field.",non profit,""
360 Arkidesign,360arkidesign.com,Accessible Architecture and Design,India,1-10,https://www.linkedin.com/company/360-arki-design,"Discover the perfect blend of architecture, interior design, and construction expertise on our home page.",public company,""
Delinevietnam,deline.vn,Accessible Architecture and Design,"Hanoi, Vietnam",11-50,https://www.linkedin.com/company/delinevietnam,"To use this social page to interact with the world and share how we are thinking of design principles out of studio and using them to solve tough issues of today, not only architecture, interior, also life.",privately held,""
BeHome Interiors,behome-interiors.com,Accessible Architecture and Design,"Steinfort, Luxembourg",11-50,https://www.linkedin.com/company/behome-interiors,"BeHome Interiors is an interior design company that specializes in custom-made furniture, architecture, and home decor.",privately held,""
BPD Cultuurfonds,bpdcultuurfonds.nl,Accessible Architecture and Design,"Amsterdam, Netherlands",1-10,https://www.linkedin.com/company/bpd-cultuurfonds,,,""
Meat Design 2023,meatdesign.cz,Accessible Architecture and Design,"Ostrava, Czechia",1-10,https://www.linkedin.com/company/meatdesignostrava,Meat Design 2023 is a design festival that showcases international designers and attracts thousands of visitors each year in Ostrava.,self owned,""
Neo,neo-studio.de,Accessible Architecture and Design,Belgium,11-50,https://www.linkedin.com/company/neostudio-neumannschneiderarchitekten,,partnership,""
Reynaers Aluminium Ukraine,reynaers.ua,Accessible Architecture and Design,"Velyka Dymerka, Ukraine",201-500,https://www.linkedin.com/company/reynaers-aluminium-ukraine,"REYNAERS ALUMINIUM UKRAINE is a leading European supplier of innovative architectural aluminium systems that cater to various configurations of windows, doors, facades, and sliding solutions.",partnership,""
